,city,salary,state,title,zipcode
0,Oak Ridge,,TN,Software Engineer,37831
2,Chattanooga,,TN,Data Analyst II - Integration,37402
5,Pleasant View,,TN,Software Support Engineer, 
6,Nashville,,TN,Data Analyst III, 
7,Tennessee,, ,Software Engineer, 
10,Nashville,$40 - $45 an hour,TN,Data Analyst (Spotfire/Tableau), 
12,Knoxville,"$90,000 - $120,000 a year",TN,Senior Software Engineer, 
13,Nashville,,TN,Data Analyst, 
15,Elmwood Park,,NJ,SQL Developer/Data Engineer,07407
16,Jersey City,"$63,000 - $68,000 a year",NJ,Junior Business Analyst, 
19,East Brunswick,,NJ,Clinical Data Analyst, 
20,Princeton,"$58,000 - $88,000 a year (Indeed est.)",NJ,Software Engineer,08540
21,New Brunswick,,NJ,Lab Data Analyst,08901
23,Township of Brick,$40 - $50 an hour,NJ,MUMPS Developer - 100% Remote, 
24,Township of Warren,,NJ,Data Analyst, 
25,Newark,,NJ,Software Development Engineer II - International expansion, 
26,Roseland,,NJ,Associate Software Developer, 
27,Jersey City,,NJ,Entry Level Software Engineer,07310
28,Lakehurst Naval Air Center,"$80,000 - $100,000 a year",NJ,Software Configuration Engineer, 
29,Princeton,,NJ,Software Engineer - Angular/Javascript,08540
30,Livingston,,NJ,"AVP, Application Development",07039
31,Princeton,,NJ,Entities Data Analyst xe2x80x93 Simplified Chinese, 
32,Monmouth Junction,,NJ,Software Development Engineer in Test (SDET),08852
33,Woodbridge,,NJ,Data Engineer,07095
36,Parsippany,,NJ,Software Development Engineering Intern, 
37,Township of Warren,,NJ,Reporting Data Analyst,07059
38,Jersey City,,NJ,BI Data Analyst, 
39,Franklin Lakes,,NJ,Associate Software Engineer,07417
40,Eatontown,,NJ,Jr. Software Developer - Didactic,07724
41,Princeton,,NJ,Data Scientist/ Machine Learning Research Professional,08540
43,Basking Ridge,,NJ,Software Engineer - Multiple locations,07920
46,Collierville,,TN,Business Analyst, 
48,Nashville,,TN,Software Developer,37217
49,Memphis,,TN,Healthcare Quality Data Analyst,38120
50,Knoxville,,TN,Software Engineer,37932
51,Nashville,,TN,Junior Data Analyst,37214
54,Lawrenceville,,NJ,Associate Data Engineer, 
55,Wayne,,NJ,Associate Data Scientist,07470
56,Township of Hamilton,,NJ,Sr. Data Analyst, 
57,Jersey City,,NJ,Data Analyst, 
58,Union,,NJ,Data Analyst, 
59,Basking Ridge,,NJ,Data Scientist xe2x80x93 Predictive & Prescriptive Analytics,07920
60,Roseland,,NJ,Junior Programmer Analyst, 
61,Morristown,$47 - $67 an hour (Indeed est.),NJ,Alteryx ETL Developer,07960
62,South Amboy,,NJ,Data Analyst, 
63,Moorestown,,NJ,Software Engineering Associate - Entry level,08057
65,Piscataway,,NJ,Software Engineer, 
67,Florham Park,,NJ,Entry Level Software Engineer,07932
68,Piscataway,,NJ,Senior Data Analyst,08854
69,Monmouth Junction,,NJ,Data Engineer,08852
70,North Brunswick,,NJ,Business Analyst,08902
71,Jersey City,,NJ,Full-Stack Software Engineer, 
73,Jersey City,"$65,000 - $140,000 a year",NJ,Java Software Engineer, 
74,Jersey City,,NJ,Principal Software Engineer (Java), 
77,Chattanooga,,TN,Entry Level Software Engineer,37450
79,Tullahoma,,TN,Software Engineer, 
80,Knoxville,,TN,Data Engineer,37902
81,Franklin,,TN,Data Analyst II,37067
83,Nashville,,TN,Business Analyst, 
84,Piney Flats,,TN,Financial/Accounting Software Analyst,37686
86,Memphis,,TN,Data Scientist, 
87,Nashville,,TN,React Software Engineer - Elmington Technology,37203
91,East Rutherford,,NJ,Programmer Analysts, 
92,Thorofare,,NJ,"Managed Services Data Analyst, Associate",08086
93,Mount Laurel,,NJ,Data Business Analyst, 
95,Piscataway,,NJ,Data Engineer, 
97,Montvale,,NJ,Data Engineer Intern Summer 2019,07645
98,Mount Arlington,"$65,000 a year",NJ,Product Specialist - Preclinical Software, 
100,Newark,,NJ,Data Analyst, 
101,Princeton,,NJ,Software Engineer I, 
102,Cinnaminson,,NJ,Data Analyst, 
105,Livingston,,NJ,Audit Data Analyst,07039
106,Bridgewater,,NJ,Business Analyst, 
107,Princeton,,NJ,Software Engineer, 
108,Edison,,NJ,Software Engineer,08817
110,Knoxville,,TN,Software Engineer - Web UI, 
111,Nashville,,TN,Software Test Engineer, 
112,Clarksville,,TN,Electronic Controls Software Engineer,37042
113,Nashville,,TN,Sales Development Representative (Event Management Software)..., 
116,Brentwood,,TN,Healthcare Data Analyst,37027
118,La Vergne,,TN,"Director, Software Development (Digital Services)", 
120,Princeton,,NJ,"Senior Software Engineer, C++",08540
121,Secaucus,,NJ,Senior Software Engineer, 
123,Freehold,,NJ,Software Developer,07728
125,Whippany,,NJ,Data Analyst - Credit Risk, 
127,Township of Hamilton,,NJ,Software Engineer, 
128,Edison,,NJ,Software Developer/Engineer (Python):, 
129,Hancocks Bridge,,NJ,Information Technology Software Engineer, 
131,Franklin,,TN,Software Engineer, 
134,Memphis,,TN,Applications Development Analyst II,38197
135,Franklin,,TN,Data Engineer, 
137,Hermitage,,TN,Business Analyst, 
138,Columbia,,TN,Senior Data Scientist, 
139,Knoxville,,TN,Data Engineer, 
141,Nashville,,TN,"Data Analyst, Business Intelligence", 
143,Franklin,,TN,"Software Engineering Manager - Franklin, TN",37068
144,Knoxville,,TN,Data Analyst / Modeler,37923
146,Newark,,NJ,Associate Software Engineer,07105
148,Somerset,"$75,000 a year",NJ,Programmer Analyst, 
150,Edison,$25 - $50 an hour,NJ,RPA Developer, 
152,Township of Hamilton,,NJ,Software Quality Engineer, 
154,Princeton,,NJ,Sr. Data Scientist, 
155,Kendall Park,"$88,546 a year",NJ,Business Analyst,08824
156,Somerset,$62 an hour,NJ,Software Developer, 
157,Oak Ridge,,TN,Software Developer, 
158,Antioch,,TN,Programmer/Analyst II - Web Development,37013
160,Knoxville,"$90,000 - $105,000 a year",TN,Software Developer, 
164,Franklin,,TN,Software Engineer,37067
166,Nashville,,TN,Data Engineer,37210
169,Holmdel,,NJ,Front-End Developer,07733
170,Jersey City,,NJ,Developer/Analyst,07302
174,Florham Park,,NJ,Business Analyst,07932
176,Mahwah,,NJ,Speech and Data Scientist, 
181,Nashville,,TN,2019 Information Technology Internship, 
182,Nashville,,TN,"Data Analyst, Distribution & Administrative Services", 
183,Knoxville,,TN,Embedded Software Engineer, 
185,Brentwood,,TN,Intermediate Software Engineer, 
186,Lewisburg,,TN,Research Data Analyst / Programmer, 
187,Nashville,,TN,Data Analyst (Tableau // Spotfire),37214
189,Tullahoma,,TN,Software Engineer/Programmer, 
190,North Brunswick,,NJ,Data Analyst with SAS SQL, 
191,Moorestown,,NJ,Software Configuration Analyst Associate,08057
193,Princeton,,NJ,Web Services Software Engineer,08540
195,Florham Park,,NJ,Data Analyst, 
197,Princeton,,NJ,Software Engineer (M/F), 
200,Parsippany,,NJ,Associate Principal Engineer- Data Engineer,07054
202,Nashville,"$60,000 a year",TN,Client Success Manager - Software,37203
206,Oak Ridge,,TN,Senior Data Engineer, 
207,Knoxville,,TN,Web Development QA Analyst,37902
208,Brentwood,,TN,Senior Data Analyst,37027
210,Brentwood,,TN,Software Engineer,37027
211,Rockleigh,,NJ,Lead Data Scientist,07647
212,Jersey City,,NJ,AD Software Development Engineer,07302
213,Lambertville,,NJ,Business Data Analyst, 
215,Newark,,NJ,Software Engineer - HTML5, 
216,Newark,,NJ,Business Analyst, 
218,Jersey City,,NJ,Software Development Manager, 
219,Edison,"$60,000 - $65,000 a year",NJ,"Hiring OPT, CPT for Information Technology",08817
220,Egg Harbor Township,,NJ,Junior Level Software Engineer, 
221,Bloomfield,,NJ,Data Scientist - Richmond Virginia area - must be local or b..., 
222,Franklin,,TN,IT Software Engineer II, 
229,Nashville,,TN,Business Analyst, 
230,La Vergne,,TN,Business Analyst - SmartData,37086
233,Edison,"$60,000 - $65,000 a year",NJ,Oracle Business Analyst, 
234,Whippany,,NJ,"IT Business Analyst, Data Warehousing",07981
236,Burlington,,NJ,Internal Audit Data Analyst,08016
238,Basking Ridge,,NJ,Software Engineer, 
239,Edison,,NJ,Web Analyst,08837
241,Parsippany,,NJ,"Engineer, Software (Custom Application Development)",07054
242,South Plainfield,,NJ,Software Engineer,07080
243,Princeton,,NJ,"Data Analyst, Mutual Funds (Portuguese Speaker)", 
246,Nashville,,TN,Software Developer-Campus Recruiting,37201
248,Nashville,,TN,Applications Engineer - ZEISS CALYPSO, 
249,Memphis,,TN,Programmer Analyst,38132
250,Nashville,,TN,Junior Software Engineer, 
256,Knoxville,,TN,Revenue Cycle Data Analyst, 
257,Nashville,,TN,Intermediate Software Engineer, 
258,Brentwood,,TN,Business Intelligence Analyst,37027
259,Collierville,"$40,000 - $50,000 a year",TN,Programmer Analyst,38017
260,Chattanooga,,TN,Ethereum Developer,37402
262,Wayne,,NJ,Entry Level Software Engineer,07470
263,Newark,,NJ,Software Dev Engineer II, 
265,Basking Ridge,,NJ,Data Scientist - Customer Experience,07920
266,Hoboken,,NJ,Staff Data Scientist, 
269,Alpha,,NJ,Software Engineer, 
270,Matawan,,NJ,Software Developers, 
273,Knoxville,,TN,Software Engineer,37922
276,Brentwood,,TN,Software Developer, 
277,Nashville,"$110,000 - $125,000 a year",TN,Lead Software Designer, 
278,Knoxville,,TN,Senior Data Scientist, 
279,Nashville,,TN,Data Analyst, 
282,Nashville,,TN,Data Analyst, 
283,Franklin,,TN,Data Analyst, 
284,Franklin,,TN,Data Analyst,37064
285,Brentwood,,TN,SQL Data Specialist, 
286,Franklin,,TN,Data Analyst,37067
287,Knoxville,,TN,Data Analyst / Modeler, 
288,Nashville,"$60,000 - $80,000 a year",TN,Software Controls Engineer,37210
289,Brentwood,,TN,SQL Database Engineer,37027
290,Franklin,,TN,Software Engineer - Data Integration, 
292,Nashville,,TN,Business / Data Analyst Data Management & Quality Control, 
293,Collierville,,TN,Software Developer Advisor - Real Time Analytics, 
294,Brentwood,"$80,000 - $98,000 a year",TN,Data Scientist, 
295,Memphis,,TN,BI Analyst (Data Modeling), 
296,Nashville,"$50,500 - $65,000 a year",TN,Data Analyst, 
297,Brentwood,,TN,Marketing Data Analyst (Tableau/Alteryx),37027
298,Nashville,,TN,Data Scientist - Outcomes Research, 
299,Memphis,,TN,Sr. Data Scientist RTI, 
300,Knoxville,"$95,000 - $100,000 a year",TN,Technical Data Analyst,37923
301,Knoxville,,TN,Software Development Internship- Summer 2019, 
302,Memphis,,TN,Associate Software Engineer, 
303,Nashville,,TN,"Software Development Engineer - Nashville, Austin and Toront...", 
304,Nashville,,TN,Legal Data Analyst, 
305,Nashville,,TN,Data Analyst, 
306,Brentwood,,TN,Software Engineer, 
307,Piney Flats,,TN,Software Analyst,37686
309,Brentwood,"$60,000 - $80,000 a year",TN,Software Engineer,37027
310,Antioch,$15 - $20 an hour,TN,Community & Data Analyst,37013
312,Princeton,,NJ,Software Engineer,08542
313,Newark,,NJ,Data Scientist, 
314,Newark,,NJ,Software Development Engineer, 
315,Edison,,NJ,Software Engineer,08817
316,Newark,$18.50 an hour,NJ,Entry Level Software Analyst, 
317,Lyndhurst,"$101,000 - $148,000 a year (Indeed est.)",NJ,BI Data Scientist, 
319,Princeton,,NJ,Software Engineer - Data Analytics Intern, 
320,Jersey City,"$108,000 - $159,000 a year (Indeed est.)",NJ,"Data Scientist, RBC Amplify - 2019", 
321,Township of Warren,,NJ,Data Analyst, 
322,South Plainfield,,NJ,Data Analyst,07080
323,Bridgewater,,NJ,Data Analyst, 
324,New Brunswick,"$122,000 - $180,000 a year (Indeed est.)",NJ,"Data Scientist, Commercial Analytics", 
325,Newark,,NJ,Software Development Engineer, 
326,Princeton,,NJ,Software Development Manager,08540
327,Holmdel,"$114,000 - $153,000 a year (Indeed est.)",NJ,Senior Software Engineer, 
328,Cherry Hill,$65 - $75 an hour,NJ,Data Analyst / Data Scientist, 
329,Princeton,,NJ,Data Analyst - FutureAdvisor,08540
330,Egg Harbor Township,,NJ,Data Analyst,08234
331,Englewood,,NJ,Associate Data Scientist,07631
333,Lebanon,,NJ,Junior Data Modeler / Data Analyst, 
334,Plainsboro,,NJ,Internship - Information Technology Business Applications An..., 
335,Metuchen,,NJ,Data Analyst, 
336,Weehawken,,NJ,AM Data Analytics xe2x80x93 Software Engineer, 
337,New Brunswick,,NJ,Application Developer, 
339,Princeton,,NJ,Entry Level Software Engineer, 
340,Summit,,NJ,Data Analyst, 
341,Whippany,,NJ,Data Analyst, 
343,Florham Park,,NJ,Software Engineer I,07932
344,Princeton,,NJ,Software Engineer, 
345,New Jersey,, ,Data Scientist - Financial Services Lab, 
346,East Hanover,,NJ,Data Scientist - NA Design Ingredients,07936
347,Newark,,NJ,Software Development Engineer - Java, 
348,Branchburg,,NJ,College Intern - Software Development (New Jersey), 
349,Basking Ridge,,NJ,Software Engineer,07920
351,Rancocas,"$3,500 - $5,000 a month",NJ,IT and Data Engineer, 
352,Newark,,NJ,Human Resources & Compensation Data Analyst, 
354,Basking Ridge,,NJ,Junior Java Software Engineer,07920
355,Princeton,,NJ,2019 Market Data Analyst,08543
356,Jersey City,,NJ,Data Analyst (Intern), 
357,Holmdel,"$120,000 - $180,000 a year",NJ,Senior Data Scientist,07733
359,Camden,"$62,000 - $83,000 a year",NJ,Data Analyst,08102
360,Trenton,"$77,526 a year",NJ,"Data Governance Analysts (Information Technology Analyst 1,...", 
361,Brentwood,,TN,Senior SQL Database Developer, 
362,Franklin,,TN,Associate Application System Analyst Big Data Programmer, 
363,Nashville,,TN,Consulting Business Intelligence Developer, 
364,Knoxville,,TN,Software Developer Summer Internship,37932
366,Memphis,,TN,Genomic Data Engineer,37544
376,Princeton,,NJ,Software Engineer, 
377,Hoboken,,NJ,"Manager, Software Development", 
378,Edison,,NJ,Software Engineer/Developer, 
379,Princeton,,NJ,Entities Data Analyst xc3xa2xe2x82xacxe2x80x9c Simplified Chinese, 
380,Newfoundland,,NJ,Software Engineer,07435
386,Franklin,,TN,Data Analyst - Applied Technology - Healthcare, 
394,Nashville,,TN,Apprentice Business Analyst,37228
395,Chattanooga,,TN,Software Engineer,37408
397,Franklin,,TN,"Senior Software Engineer - Franklin, TN",37068
398,Nashville,,TN,Software Development Associate - Technology & Operations Pro..., 
401,Allentown,,NJ,Software Engineer, 
402,Rockleigh,,NJ,Data Analyst,07647
404,Princeton,,NJ,Software Developer Internship for High Level Synthesis,08540
407,Edison,,NJ,Software Developer/Engineer, 
408,Newark,,NJ,Software Dev Engineer II, 
409,Jersey City,,NJ,Senior Data Engineer, 
413,Nashville,,TN,Software Development Engineer Test II,37217
416,Knoxville,,TN,SQL Database Developer/Software Engineer,37932
420,Clinton,$50 - $55 an hour,NJ,Sr. Data Modeler/Data Analyst, 
421,Picatinny Arsenal,,NJ,Associate Software Design Engineer (Entry Level), 
422,Somerset,,NJ,"Engineer I, Software Quality Assurance Testing", 
424,Monmouth Junction,,NJ,Software Engineer (Performance Engineer),08852
426,Cherry Hill,,NJ,Software Engineer Associate,08002
427,Plainfield,,NJ,Software Engineer:, 
429,Atlantic City,,NJ,Jr. Software Engineer (Java) - FAA,08405
434,Memphis,,TN,Senior Image Data Scientist,37544
435,La Vergne,,TN,Senior Software Engineer, 
438,Franklin,,TN,Data Engineer II,37067
440,Parsippany,,NJ,CAMPUS: Internship Opportunity - IT/CAD Software Development..., 
441,Freehold,,NJ,Information Technology - Junior Software Developer,07728
442,Nutley,,NJ,Software Engineer/Software Developers,07110
444,Franklin Lakes,,NJ,Data Scientist - NJ, 
448,Whippany,$55 - $70 an hour,NJ,Senior Software Engineer (Need Passport Number), 
449,Cranbury,,NJ,Software Engineer,08512
452,Nashville,,TN,Business Analyst / Data Management Strategy & Governance, 
463,Rockaway,"$40,000 - $70,000 a year",NJ,Business Analyst,07866
466,Woodland Park,$34.00 - $35.40 an hour,NJ,Business/Data Analyst - MS Excel, 
469,Iselin,,NJ,Clinical Enterprise Data Analyst,08830
472,Jersey City,,NJ,Data Analyst,07311
484,Springfield,,TN,Senior Software Development Engineer, 
486,Moorestown,,NJ,Software Engineer II / Developer, 
487,Jersey City,"$60,000 - $65,000 a year",NJ,Jr.Tableau Developer, 
489,Cinnaminson,,NJ,Software Quality Analyst, 
491,Princeton,,NJ,"Software Engineer - Deep Reinforcement Learning for CAD, CAE...",08540
492,Edison,,NJ,Senior Big Data Analyst, 
493,Camden,,NJ,Software Engineer - WMS,08103
494,Franklin Lakes,,NJ,Associate Programmer Analyst,07417
500,Nashville,,TN,Software Engineer, 
501,Nashville,,TN,WorldWide Operations Software Engineer, 
502,Hermitage,,TN,Business Analyst (MSP Team), 
503,Brentwood,,TN,"Data Scientist, Marketing",37027
510,Clark,"$100,000 - $120,000 a year",NJ,Principal Software Engineer - MEAN Stack,07066
512,Princeton,,NJ,Associate Software Developer,08540
515,Weehawken,,NJ,IT Software Engineer, 
517,Township of Neptune,,NJ,Software Developer, 
519,Nashville,,TN,Master Data Analyst, 
523,Memphis,"$60,000 - $80,000 a year",TN,GIS Business Analyst, 
528,Nashville,"$100,000 - $120,000 a year",TN,Senior Software Engineer, 
530,Oak Ridge,"$44,709 - $52,533 a year",TN,Database Developer,37830
531,Nashville,,TN,Programmer / Analyst, 
533,East Hanover,,NJ,Associate Principal Engineer- Data Engineer,07936
535,Metuchen,,NJ,Software Engineer, 
536,Princeton,,NJ,Research Software & Programming Analyst, 
537,Clifton,,NJ,Software QA - Entry Level,07011
538,Township of Hamilton,,NJ,Software Release Engineer, 
539,East Hanover,,NJ,Senior Scientist I- Data Science,07936
541,Township of Lawrence,,NJ,"Software Engineer, Quality Assurance",08648
542,Piscataway,,NJ,"Summer Intern - Software Developer, Information Technology", 
543,Florham Park,,NJ,Associate Developer, 
545,Nashville,,TN,"Director, Software Development",37217
546,Knoxville,,TN,Full Stack Software Engineer,37932
547,Oak Ridge,,TN,Computer/Data Scientist,37831
548,Nashville,,TN,Software Dev Engineer, 
549,Franklin,,TN,Senior Software Engineer,37068
550,Martin,,TN,Software Developer, 
554,Edison,,NJ,Licensed Practice Nurse(LPN)xe2x80x93Data Analyst 30-40 % travel, 
557,Holmdel,,NJ,Senior Software Engineer | Software Development,07733
559,Franklin Lakes,,NJ,Software Engineer xe2x80x93 PowerBuilder, 
561,Princeton,,NJ,Software Engineer (back-end), 
562,Hoboken,,NJ,Junior Business Analyst, 
563,East Brunswick,,NJ,Business Analyst, 
568,Franklin,,TN,Business Analyst,37067
572,La Vergne,,TN,Software Engineer,37086
573,Maryville,,TN,Software Developer,37804
577,Nashville,,TN,Programmer/Analyst, 
581,Spring Valley,,NJ,"Agile Software Business Analyst based in Kenilworth, NJ", 
584,Morristown,,NJ,Data Engineer,07961
585,Princeton,,NJ,Software QA Analyst, 
586,Edison,,NJ,Programmer Analyst,08817
587,Murray Hill,,NJ,Software Development Co op, 
589,Lawrenceville,,NJ,Associate Application Support Engineer, 
591,Kingsport,,TN,Data Analyst I, 
592,Nashville,,TN,Data Analyst, 
593,Knoxville,,TN,Data Analyst,37923
594,Clarksville,,TN,Data Analyst, 
595,Nashville,,TN,PYTHON/ETL Developer, 
596,Nashville,,TN,Jr. SQL Analyst,37214
597,Nashville,,TN,Big Data Engineer, 
598,Nashville,,TN,Data Scientist, 
599,Memphis,$45 - $60 an hour,TN,Software Development Engineer in Test, 
602,Nashville,,TN,Claims Data Analyst, 
603,Memphis,,TN,Associate Software Engineer,37544
605,Princeton,,NJ,Business Data Analyst, 
606,South Plainfield,,NJ,Quant Python Data Analyst,07080
607,Secaucus,"$106,000 - $157,000 a year (Indeed est.)",NJ,Data Scientist - Digital Analyst, 
608,Princeton,,NJ,Data Analyst Intern, 
609,Township of Hamilton,,NJ,Software Development Intern, 
610,Piscataway,,NJ,Summer 2019 Application and Software Development Internship,08854
611,Edison,,NJ,Senior Software Engineer,08817
612,New Brunswick,,NJ,Data Analyst, 
613,Newark,,NJ,Business Data Analyst, 
615,Parsippany,,NJ,"Data Analyst, Consultant",07054
617,Parsippany,,NJ,"Data Scientist, Consultant", 
618,Parsippany,,NJ,Lead Data Scientist,07054
619,New Brunswick,,NJ,Senior Data Science Analyst-Supply Chain Digital & Analytics, 
620,East Rutherford,,NJ,Business Intelligence & Analytics Manager,07073
622,Monmouth Junction,,NJ,Programmer Analyst, 
623,New Jersey,, ,JavaScript/Python Software Engineer, 
624,Princeton,,NJ,Software Engineer, 
625,Basking Ridge,,NJ,Data Scientist,07920
626,Jersey City,,NJ,Java Software Engineer, 
627,Weehawken,,NJ,Data Analyst - Financial, 
628,Eatontown,,NJ,Associate Software Engineer,07724
629,Somerset,,NJ,Software Engineer Development, 
630,Piscataway,"$62,000 - $93,000 a year (Indeed est.)",NJ,Software Developer,08854
631,Madison,,NJ,Software Engineer, 
633,New Brunswick,,NJ,"Software Engineer - POS, R&D", 
634,Hoboken,,NJ,Software Engineer, 
635,Township of Hamilton,,NJ,Sr Data Analyst, 
636,Weehawken,,NJ,Strategic Business Analyst/Data Scientist, 
637,Raritan,$27 - $37 an hour,NJ,Clinical Data Analyst (Medidata CTMS),08869
638,Jersey City,,NJ,Data Scientist,07302
640,Edison,"$60,000 - $65,000 a year",NJ,Data Analyst with 1-3yrs of Experience, 
642,Princeton,"$50,000 - $80,000 a year",NJ,Business Data Analyst, 
646,Brentwood,,TN,Sr SQL Database Administrator, 
647,Memphis,,TN,Java Software Engineer,38103
648,Nashville,,TN,Software Engineer, 
652,Spring Hill,,TN,Applications Lab Assistant,37174
655,Nashville,,TN,Associate Software Design Engineer, 
657,Trenton,,NJ,Oracle Developer with Apex experience, 
658,Edgewater Park,,NJ,Senior Application Development Analyst,08010
660,Princeton,,NJ,Applications Scientist - Materials Science, 
661,Princeton,,NJ,Research Software Engineer, 
664,Secaucus,,NJ,Software Engineer, 
665,Little Falls,,NJ,Software Engineer, 
667,Cranbury,,NJ,Business Analyst,08512
674,Nashville,,TN,Senior Business/Data Analyst, 
676,Memphis,,TN,Data Engineer,38115
677,Nashville,,TN,"Jr Business Developer-Mall at Green Hills, Nashville",37209
679,Nashville,,TN,Python Software Engineer, 
680,Nashville,,TN,Programmer/Analyst, 
683,Newark,,NJ,"Intern, IT Data Analyst (Summer 2019- Rising Senior)",07102
684,Bernardsville,$25 an hour,NJ,2019 Web Developer Summer Intern,07924
685,Bloomfield,,NJ,Data Scientist - New York/New Jersey area, 
